"username","id","datetime","type","text","has_referenced_tweet","referenced_tweet_found","referenced_tweet_id","referenced_tweet_text","referenced_tweet_datetime","referenced_tweet_author_id","referenced_tweet_author_name","referenced_tweet_author_username"
"yjadot","1417925380615385092","2021-07-21 19:12:09+00:00","retweet","RT @Gemenne: Il n’est plus possible de considérer les migrants comme des sous-humains qu’on peut laisser mourir. On peut mettre en œuvre de…",True,True,"1417753718473232384","Il n’est plus possible de considérer les migrants comme des sous-humains qu’on peut laisser mourir. On peut mettre en œuvre des politiques migratoires qui évitent ces drames. Notre tribune dans Le Monde avec @yjadot @DamienCAREME @BeTAXIL @CarolineRooseEU. https://t.co/YIawlelsLx","2021-07-21 07:50:01+00:00","30245029","François Gemenne","Gemenne"
"yjadot","1417778259626967044","2021-07-21 09:27:32+00:00","normal","Message clair de @sauvonsleurope !
Les militaires aux 35h ? Et autres indignations factices https://t.co/nSttwDQvCV",False,False,"","","","","",""
"yjadot","1417742330472374272","2021-07-21 07:04:46+00:00","normal","« Il n’est plus possible de considérer les migrants comme des sous-humains qu’on peut laisser mourir en mer » –
Notre tribune sur le ⁦@lemondefr⁩ avec ⁦@DamienCAREME⁩ ⁦@Gemenne⁩ ⁦@CarolineRooseEU⁩ et ⁦@BeTAXIL⁩  https://t.co/yml467bTM4",False,False,"","","","","",""
"yjadot","1417511296954773504","2021-07-20 15:46:43+00:00","normal","À #Liège et #Trooz avec @Gemenne pour écouter les témoignages des habitants, bénévoles, services publics et autorités locales qui accompagnent les victimes et gèrent les dégâts des #inondations.
Derrière les images ce sont d’immenses souffrances
Adaptons maintenant nos sociétés ! https://t.co/y4II8HpAGW",False,False,"","","","","",""
"yjadot","1417397988058619918","2021-07-20 08:16:28+00:00","retweet","RT @MorganJasiens: #Presidentielle2022 : il est temps qu'un•e écologiste gagne sous la Ve République pour faire advenir la VIe. Ça commence…",True,True,"1417371271730507785","#Presidentielle2022 : il est temps qu'un•e écologiste gagne sous la Ve République pour faire advenir la VIe. Ça commence par la #PrimaireEcologiste. Pour moi, ce sera @yjadot : quoi de mieux qu'un•e parlementaire pour instaurer un régime parlementaire ?
https://t.co/FJxlXXzLiX https://t.co/OEPRtzBYb4 https://t.co/MdTWXfmj7s","2021-07-20 06:30:19+00:00","397909802","Morgan Jasienski 🌻🤝🌍⚖️🛡️🌈🇪🇺","MorganJasiens"
"yjadot","1417372555447578648","2021-07-20 06:35:25+00:00","normal","Irresponsable ! Pour éviter que le chaos climatique ne devienne la norme, les scientifiques recommandent de réduire de 65% les émissions de GES d’ici 2030. L’UE a adopté 53%. Et la France vote une loi qui permet d’atteindre la moitié de 40%!  https://t.co/DVSHjXS2Wf",False,False,"","","","","",""
"yjadot","1417250456640921600","2021-07-19 22:30:14+00:00","retweet","RT @EcoloJ_Fr: PRIMAIRE DES ECOLOGISTES : OUVERTURE DES INSCRIPTIONS
Vous pouvez vous inscrire pour participer à la primaire des écologiste…",True,True,"1417045625728901120","PRIMAIRE DES ECOLOGISTES : OUVERTURE DES INSCRIPTIONS
Vous pouvez vous inscrire pour participer à la primaire des écologistes !
👉 Dès 16 ans et pour 2 euros seulement sur 👇
📲 https://t.co/JMaFUuB5VV https://t.co/s18s5VF3UG","2021-07-19 08:56:19+00:00","1272267866432249862","Écolo’J","EcoloJ_Fr"
"yjadot","1417248797487423504","2021-07-19 22:23:39+00:00","retweet","RT @M_Orphelin: En phase évidemment avec cette analyse des 10aines d'associations membres du @RACFrance, je voterai donc demain contre la #…",True,True,"1417167785529155588","En phase évidemment avec cette analyse des 10aines d'associations membres du @RACFrance, je voterai donc demain contre la #LoiClimat, avec grand regret tant l'occasion était belle de retrouver une belle ambition FR pour le #climat. https://t.co/V0gzn11U8O","2021-07-19 17:01:44+00:00","949232324","Matthieu ORPHELIN","M_Orphelin"
"yjadot","1417248703707074561","2021-07-19 22:23:16+00:00","retweet","RT @nthierry: Alain Rousset et la majorité régionale ont repoussé notre proposition.
L’argument est le suivant : mettre en place une conve…",True,True,"1417146660136890373","Alain Rousset et la majorité régionale ont repoussé notre proposition.
L’argument est le suivant : mettre en place une convention citoyenne régionale serait une «régression» (!!!) qui remettrait en cause les politiques régionales déjà engagées.

#immobilisme #urgenceclimatique https://t.co/ucIB9c9WrY","2021-07-19 15:37:47+00:00","76123775","Nicolas THIERRY","nthierry"
"yjadot","1417248558433116160","2021-07-19 22:22:42+00:00","retweet","RT @Gemenne: Un mystérieux chercheur belge...",True,True,"1417200691836297221","Un mystérieux chercheur belge... https://t.co/SMzGaEuiXO","2021-07-19 19:12:29+00:00","30245029","François Gemenne","Gemenne"
