"username","id","datetime","type","text","has_referenced_tweet","referenced_tweet_found","referenced_tweet_id","referenced_tweet_text","referenced_tweet_datetime","referenced_tweet_author_id","referenced_tweet_author_name","referenced_tweet_author_username","own_text","cleaned_text"
"avecvous","1512087081169739776","2022-04-07 15:17:08+00:00","normal","Pour le bien-être de nos enfants. https://t.co/magzZhA55o",False,False,"","","","","","","Pour le bien-être de nos enfants. https://t.co/magzZhA55o","bien-être enfants"
"avecvous","1512085964725784586","2022-04-07 15:12:41+00:00","normal","Nous mettrons en place des bilans de santé aux âges clés de la vie. Le bilan de santé à 45 ans sera pour les femmes l’occasion de faire un diagnostic large, incluant la prise en charge de la ménopause. https://t.co/gOmLarrYcN",False,False,"","","","","","","Nous mettrons en place des bilans de santé aux âges clés de la vie. Le bilan de santé à 45 ans sera pour les femmes l’occasion de faire un diagnostic large, incluant la prise en charge de la ménopause. https://t.co/gOmLarrYcN","mettrons place bilans santé âges clés vie bilan santé ans femmes occasion faire diagnostic large incluant prise charge ménopause"
"avecvous","1512083982057304070","2022-04-07 15:04:49+00:00","normal","Nous ne sommes pas égaux face à l’alimentation. Destiné en priorité aux ménages précaires, le chèque alimentaire permettra à chacun de pouvoir acheter des produits frais, locaux, durables, bio. https://t.co/IfxXY7bXSB",False,False,"","","","","","","Nous ne sommes pas égaux face à l’alimentation. Destiné en priorité aux ménages précaires, le chèque alimentaire permettra à chacun de pouvoir acheter des produits frais, locaux, durables, bio. https://t.co/IfxXY7bXSB","sommes égaux face alimentation destiné priorité ménages précaires chèque alimentaire permettra pouvoir acheter produits frais locaux durables bio"
"avecvous","1512083815430189060","2022-04-07 15:04:09+00:00","retweet","RT @JeunesMacron: 🇫🇷 Vous voulez une France de la parité, de l'écologie et du progrès ? 

Une France du mérite, du travail et qui protège ?…",True,True,"1512072300153085955","🇫🇷 Vous voulez une France de la parité, de l'écologie et du progrès ? 

Une France du mérite, du travail et qui protège ?

🇪🇺 Une France plus indépendante, plus forte, plus juste, dans une Europe nouvelle ? 

🗳️ Alors dimanche, #JeVoteMacronDèsLePremierTour ! https://t.co/Cprc5CBSFj","2022-04-07 14:18:23+00:00","3341083283","Les Jeunes avec Macron #avecvous","JeunesMacron","",""
"avecvous","1512072655817494529","2022-04-07 14:19:48+00:00","normal","#LeCandidat, épisode 6 : rendez-vous demain sur notre chaîne YouTube.
➜ https://t.co/mByudAoeKP https://t.co/DXcMVZilMZ",False,False,"","","","","","","#LeCandidat, épisode 6 : rendez-vous demain sur notre chaîne YouTube.
➜ https://t.co/mByudAoeKP https://t.co/DXcMVZilMZ","épisode rendez-vous demain chaîne youtube"
"avecvous","1512054749650116613","2022-04-07 13:08:39+00:00","normal","1 million de procurations déjà déposées ! Vous êtes absent dimanche pour aller voter ? Pensez à faire procuration : https://t.co/G7IG9hjwK6",False,False,"","","","","","","1 million de procurations déjà déposées ! Vous êtes absent dimanche pour aller voter ? Pensez à faire procuration : https://t.co/G7IG9hjwK6","million procurations déposées êtes absent dimanche aller voter pensez faire procuration"
"avecvous","1512030572583047172","2022-04-07 11:32:35+00:00","reply","Dimanche, votez pour le progrès social. Votez Emmanuel Macron ! https://t.co/Pz4EPrQ9yA",True,True,"1512030564156641283","Étendre la caution publique pour les locataires afin de faciliter l'accès au logement tout en sanctionnant les mauvais payeurs. https://t.co/v49DzumV37","2022-04-07 11:32:33+00:00","1463777982246445057","Emmanuel Macron avec vous","avecvous","Dimanche, votez pour le progrès social. Votez Emmanuel Macron ! https://t.co/Pz4EPrQ9yA","dimanche votez progrès social votez emmanuel macron"
"avecvous","1512030564156641283","2022-04-07 11:32:33+00:00","reply","Étendre la caution publique pour les locataires afin de faciliter l'accès au logement tout en sanctionnant les mauvais payeurs. https://t.co/v49DzumV37",True,True,"1512030556116111360","Réduire la pauvreté en versant automatiquement les aides (prime d’activité, allocations familiales, APL, RSA) à ceux qui y ont droit, pour éviter le non-recours et la fraude. Ce sera la solidarité à la source après le prélèvement à la source. https://t.co/oSklyl5TvV","2022-04-07 11:32:31+00:00","1463777982246445057","Emmanuel Macron avec vous","avecvous","Étendre la caution publique pour les locataires afin de faciliter l'accès au logement tout en sanctionnant les mauvais payeurs. https://t.co/v49DzumV37","étendre caution publique locataires faciliter accès logement sanctionnant mauvais payeurs"
"avecvous","1512030556116111360","2022-04-07 11:32:31+00:00","reply","Réduire la pauvreté en versant automatiquement les aides (prime d’activité, allocations familiales, APL, RSA) à ceux qui y ont droit, pour éviter le non-recours et la fraude. Ce sera la solidarité à la source après le prélèvement à la source. https://t.co/oSklyl5TvV",True,True,"1512030548511842309","J-3. Dimanche, votez pour améliorer le quotidien des plus modestes, votez pour Emmanuel Macron. https://t.co/naVIlWINOr","2022-04-07 11:32:29+00:00","1463777982246445057","Emmanuel Macron avec vous","avecvous","Réduire la pauvreté en versant automatiquement les aides (prime d’activité, allocations familiales, APL, RSA) à ceux qui y ont droit, pour éviter le non-recours et la fraude. Ce sera la solidarité à la source après le prélèvement à la source. https://t.co/oSklyl5TvV","réduire pauvreté versant automatiquement aides prime activité allocations familiales apl rsa droit éviter non-recours fraude solidarité source prélèvement source"
"avecvous","1512030548511842309","2022-04-07 11:32:29+00:00","normal","J-3. Dimanche, votez pour améliorer le quotidien des plus modestes, votez pour Emmanuel Macron. https://t.co/naVIlWINOr",False,False,"","","","","","","J-3. Dimanche, votez pour améliorer le quotidien des plus modestes, votez pour Emmanuel Macron. https://t.co/naVIlWINOr","j-3 dimanche votez améliorer quotidien modestes votez emmanuel macron"
"avecvous","1512016572709232644","2022-04-07 10:36:57+00:00","normal","« Je vise l’objectif du plein emploi. Car grâce à tout ce que nous avons fait ensemble, pour la première fois depuis le milieu des années 70, notre pays peut dire dans les cinq années qui viennent qu’il atteindra le plein emploi, oui c’est possible ! » @EmmanuelMacron https://t.co/OpcTUD3jpa",False,False,"","","","","","","« Je vise l’objectif du plein emploi. Car grâce à tout ce que nous avons fait ensemble, pour la première fois depuis le milieu des années 70, notre pays peut dire dans les cinq années qui viennent qu’il atteindra le plein emploi, oui c’est possible ! » @EmmanuelMacron https://t.co/OpcTUD3jpa","vise objectif plein emploi grâce ensemble fois milieu années pays années viennent atteindra plein emploi oui"
"avecvous","1512005230631735298","2022-04-07 09:51:53+00:00","normal","« J’ai encore une énergie intacte, ce qui me permet de faire des choses de manière plus claire et tranchée qu’il y a cinq ans. C’est d’abord ça qui m’importe. » @EmmanuelMacron https://t.co/co8Dpj7zG6",False,False,"","","","","","","« J’ai encore une énergie intacte, ce qui me permet de faire des choses de manière plus claire et tranchée qu’il y a cinq ans. C’est d’abord ça qui m’importe. » @EmmanuelMacron https://t.co/co8Dpj7zG6","énergie intacte faire choses manière claire tranchée ans"
"avecvous","1511970255891013632","2022-04-07 07:32:54+00:00","retweet","RT @igloikinga: Ce dimanche a lieu l’élection présidentielle et il y a un réel danger qu'un candidat populiste soit élu en France.
Je viens…",True,True,"1511962002188640259","Ce dimanche a lieu l’élection présidentielle et il y a un réel danger qu'un candidat populiste soit élu en France.
Je viens de la Hongrie de Viktor Orban, et je vous demande d'aller voter les 10 et 24 avril pour protéger la République française de la montée du populisme. https://t.co/OVYAB68uJX","2022-04-07 07:00:06+00:00","45816769","Kinga Igloi","igloikinga","",""
"avecvous","1511812285119012870","2022-04-06 21:05:11+00:00","retweet","RT @brutofficiel: Posez vos questions dès maintenant à @EmmanuelMacron. Comme tous les candidats à la présidentielle, il y répondra sur Bru…",True,True,"1511811489459589125","Posez vos questions dès maintenant à @EmmanuelMacron. Comme tous les candidats à la présidentielle, il y répondra sur Brut. 
Vendredi 8 avril, en direct, à partir de 19h. #Brut2022 https://t.co/4HGRnc6jEm","2022-04-06 21:02:01+00:00","765849247262633984","Brut FR","brutofficiel","",""
"avecvous","1511784221479776272","2022-04-06 19:13:40+00:00","normal","Nous indexerons sur l'inflation les pensions de retraite de nos aînés dès cet été. #MacronTF1 https://t.co/jUrgpQmlgo",False,False,"","","","","","","Nous indexerons sur l'inflation les pensions de retraite de nos aînés dès cet été. #MacronTF1 https://t.co/jUrgpQmlgo","indexerons inflation pensions retraite aînés été"
"avecvous","1511783276356251648","2022-04-06 19:09:55+00:00","normal","Je crois en notre école républicaine. #MacronTF1 https://t.co/bWX38gXSqs",False,False,"","","","","","","Je crois en notre école républicaine. #MacronTF1 https://t.co/bWX38gXSqs","crois école républicaine"
"avecvous","1511782488552710159","2022-04-06 19:06:47+00:00","normal","Voter Emmanuel Macron c'est voter pour votre pouvoir d'achat. #MacronTF1 https://t.co/nN8kCLaRMa",False,False,"","","","","","","Voter Emmanuel Macron c'est voter pour votre pouvoir d'achat. #MacronTF1 https://t.co/nN8kCLaRMa","voter emmanuel macron voter pouvoir achat"
"avecvous","1511739919869390860","2022-04-06 16:17:38+00:00","normal","Pour une France forte dans une Europe forte, dimanche on vote Emmanuel Macron ! https://t.co/4L5lPEHURZ",False,False,"","","","","","","Pour une France forte dans une Europe forte, dimanche on vote Emmanuel Macron ! https://t.co/4L5lPEHURZ","france forte europe forte dimanche vote emmanuel macron"
"avecvous","1511731662601822212","2022-04-06 15:44:49+00:00","normal","Ferez-vous les bons choix ? 
Rendez-vous sur https://t.co/DqEDFwbQnT pour vivre une expérience interactive. https://t.co/TdfKzYzlds",False,False,"","","","","","","Ferez-vous les bons choix ? 
Rendez-vous sur https://t.co/DqEDFwbQnT pour vivre une expérience interactive. https://t.co/TdfKzYzlds","ferez -vous bons choix rendez-vous"
